,nome,cpf,idade,data,endereco,estado,pais
19,Luiz Fernando Câmara,154.387.092-97,49,23/01/1975,"Alameda de Machado, 70
Mala E Cuia
08576-954 Campos de Costa / AP",Roraima,Brasil
20,Luna Siqueira,917.460.832-04,47,30/10/1976,"Pátio Fernando Barbosa, 68
Salgado Filho
44144-341 Guerra / RN",São Paulo,Brasil
21,Oliver Nogueira,785.412.960-67,24,01/01/2000,"Via Mendes
Conjunto Califórnia I
29134282 Rocha / RR",Amazonas,Brasil
22,Rael Sousa,709.148.236-04,20,14/12/2003,"Passarela de Siqueira, 50
Nossa Senhora Aparecida
30936360 Rezende do Oeste / SC",Paraíba,Brasil
23,Srta. Bruna Câmara,082.796.534-65,46,18/07/1978,"Via Rafaela Costa, 985
Coração Eucarístico
90467-149 Sales / PA",Amapá,Brasil
24,João Lucas Novaes,910.253.784-23,30,23/12/1993,"Viaduto Almeida, 85
Pongelupe
26095-558 Cassiano Paulista / RJ",Amapá,Brasil
25,Calebe Nascimento,897.352.164-00,52,30/12/1971,"Morro Rodrigues, 23
Palmeiras
06086196 Gomes / AL",Bahia,Brasil
26,Larissa Aragão,241.386.590-05,20,08/02/2004,"Pátio Davi Miguel Brito, 47
Vila Maloca
05775-976 Brito das Flores / SC",Sergipe,Brasil
27,Maria Sophia Nascimento,560.941.783-00,41,08/08/1983,"Viaduto de Rodrigues, 72
Grajaú
51353666 Silveira de Dias / CE",Minas Gerais,Brasil
28,Maria Vitória Lima,953.248.601-15,55,03/02/1969,"Favela Lopes, 13
Parque São José
79603093 Leão do Sul / RR",Amapá,Brasil
29,Bianca Fogaça,657.309.281-30,49,11/12/1974,"Viaduto Ramos, 21
Novo Ouro Preto
08634388 Fogaça / CE",Minas Gerais,Brasil
30,Yago da Rocha,501.782.346-80,31,29/05/1993,"Avenida Luiz Otávio Albuquerque
Conjunto Jardim Filadélfia
39241165 da Mota da Mata / PA",Tocantins,Brasil
31,Sra. Valentina Fogaça,167.824.059-11,38,23/12/1985,"Largo Catarina Cavalcanti, 70
São Francisco Das Chagas
48629181 Silva / SE",Maranhão,Brasil
32,Sra. Maria Julia Cassiano,157.984.036-10,46,21/12/1977,"Vila Caldeira, 90
Flamengo
02275719 Lima de Araújo / RJ",São Paulo,Brasil
33,Otávio Fogaça,284.319.650-70,37,28/07/1987,"Quadra Cassiano, 39
Novo Glória
30222613 Viana Verde / RS",Mato Grosso do Sul,Brasil
34,Milena Cirino,796.453.820-92,39,05/09/1984,"Praia de Pires, 50
Conjunto Lagoa
75460627 Pinto da Praia / RS",Rio Grande do Sul,Brasil
35,Elisa Souza,904.235.876-92,52,06/09/1971,"Trevo de Azevedo, 2
Grotinha
11780431 Mendes / DF",Minas Gerais,Brasil
36,Fernando Cassiano,456.823.791-28,28,17/02/1996,"Viela Moreira, 3
Cardoso
16023529 Rocha de das Neves / GO",Rondônia,Brasil
37,João Gabriel Freitas,047.256.831-08,56,07/12/1967,"Favela Barros, 84
Vila São Rafael
30479-699 Sampaio Paulista / SP",Bahia,Brasil
38,Isadora Guerra,038.694.127-04,34,26/09/1989,"Esplanada Martins, 29
Vila Novo São Lucas
44641-592 Pereira / MG",Santa Catarina,Brasil
39,Emanuel Leão,853.902.471-32,43,07/12/1980,"Jardim Fonseca, 4
Conjunto Califórnia I
28126268 Pastor do Campo / PA",Amazonas,Brasil
40,Vitor Hugo Castro,689.037.412-69,46,11/06/1978,"Núcleo de Vasconcelos, 13
São Salvador
93183-963 Barbosa de Minas / PA",Amazonas,Brasil
41,Felipe Nascimento,716.842.930-22,59,29/05/1965,"Vale da Luz, 31
Novo Das Industrias
75999506 Santos / DF",Maranhão,Brasil
42,Ian Dias,360.219.475-25,55,17/03/1969,"Morro Laura da Mota, 285
Novo São Lucas
04438135 Cirino de Minas / TO",Rio Grande do Norte,Brasil
43,Letícia Porto,,19,23/04/2005,"Núcleo de Caldeira, 72
Santo Agostinho
46924686 Lopes / RN",Tocantins,Brasil
44,Maria Clara Jesus,091.243.865-70,37,11/03/1987,"Praia Ramos, 507
João Alfredo
49676-239 da Cunha / BA",Rio Grande do Sul,Brasil
45,Maria Alice Rodrigues,528.310.694-24,29,04/03/1995,"Alameda Pinto, 1
Bacurau
76948181 da Rosa / PE",Tocantins,Brasil
46,Ágatha Gonçalves,098.432.165-98,35,30/06/1989,"Favela Pietro Porto, 52
Atila De Paiva
62918-358 Camargo / AM",Minas Gerais,Brasil
47,Maria Eduarda da Mota,071.843.956-20,24,25/07/2000,"Viela Lopes, 557
Oeste
94445-560 Aparecida Alegre / CE",Amapá,Brasil
48,Dr. Luan Moreira,465.029.138-06,58,08/05/1966,"Viaduto Marcelo Cassiano, 5
Sion
64231-637 da Luz do Campo / MT",São Paulo,Brasil
49,Juliana Melo,674.590.128-58,51,16/10/1972,"Feira de Melo
Alta Tensão 1ª Seção
73173-924 Nogueira / RR",Minas Gerais,Brasil
50,Bianca Fernandes,178.096.245-20,47,01/06/1977,"Trevo Duarte, 32
Flavio De Oliveira
86674437 Fonseca do Amparo / SE",Pernambuco,Brasil
51,Juan Albuquerque,985.703.642-29,39,06/03/1985,"Lago Hadassa Nascimento
São Sebastião
34779-428 Fernandes Verde / RN",Mato Grosso,Brasil
52,Guilherme Sales,298.106.735-40,21,26/09/2002,"Distrito Esther Jesus, 5
Barão Homem De Melo 1ª Seção
46672-350 Macedo do Oeste / RR",São Paulo,Brasil
53,Calebe Brito,208.514.936-70,37,05/07/1987,"Quadra de Cavalcanti, 90
Lorena
23398-883 Porto / CE",Alagoas,Brasil
54,Carolina Pereira,174.283.605-44,59,25/09/1964,"Viela Paulo Rezende, 9
Santa Terezinha
10416779 Guerra da Praia / SE",Minas Gerais,Brasil
55,Emanuella Mendes,236.785.190-59,46,27/10/1977,"Área Sofia Lopes, 185
Jardim Vitoria
95425030 Fogaça / MG",Mato Grosso,Brasil
56,Ester Santos,690.371.548-75,26,02/04/1998,"Parque Ana Luiza Santos, 5
Universo
28951067 Machado / AC",Rio Grande do Sul,Brasil
57,Natália Machado,712.806.594-67,35,22/10/1988,"Quadra Guilherme Camargo, 1
Sport Club
78369-635 Andrade das Flores / SP",Roraima,Brasil
58,João Mendonça,043.125.869-42,35,03/01/1989,"Conjunto Nunes
Conjunto Celso Machado
96648-569 Pinto / RO",São Paulo,Brasil
59,Maitê da Cruz,305.718.492-88,49,22/09/1974,"Fazenda Bruno Nunes, 24
Trevo
48552900 da Rosa / TO",Acre,Brasil
60,Calebe Silveira,152.709.684-01,44,10/06/1980,"Campo Nascimento
Teixeira Dias
94940999 Costa da Mata / RR",Alagoas,Brasil
61,Gustavo Siqueira,973.145.062-99,30,05/02/1994,"Jardim Rios, 5
Betânia
66433-909 Viana / RJ",Mato Grosso,Brasil
62,Dr. José Brito,103.592.486-24,33,04/05/1991,"Vale Mendonça, 1
Vila Nova Cachoeirinha 3ª Seção
14203261 Caldeira de Goiás / MT",Amazonas,Brasil
63,Sara Costela,349.572.018-97,53,16/02/1971,"Rua Manuela Lima, 21
Floresta
91557375 Pimenta da Serra / PR",Ceará,Brasil
64,Cecilia Barros,168.923.547-00,54,17/08/1969,"Parque Albuquerque, 64
Concórdia
12566-037 Sales / PI",Alagoas,Brasil
65,Renan Rocha,840.169.527-94,53,24/04/1971,"Estação de Carvalho, 139
Piratininga
01524-069 da Cruz Alegre / AC",Espírito Santo,Brasil
66,Sra. Ana Sá,471.359.682-55,21,14/03/2003,"Vereda Luana Marques, 87
Itatiaia
59670-233 Vargas do Norte / RN",Rondônia,Brasil
67,Raquel Sampaio,406.289.175-11,28,08/10/1995,"Colônia de Alves, 73
Leticia
61834216 Barros do Campo / RO",Pará,Brasil
68,Luísa Santos,026.483.159-42,48,10/06/1976,"Rua Joana Macedo, 19
Lajedo
19032960 Almeida / PA",Amazonas,Brasil
69,Vitor Hugo Duarte,084.179.263-13,54,27/10/1969,"Vale Catarina Lima, 80
Vila Sumaré
98971106 Lopes Alegre / TO",Paraná,Brasil
70,Lavínia Almeida,352.409.718-97,22,13/02/2002,"Distrito Maria Alice Jesus, 24
Vila Ipiranga
02806030 Jesus / RO",Rondônia,Brasil
71,Guilherme Macedo,649.128.750-58,46,12/07/1978,"Morro Viana, 64
Vila Nova Dos Milionarios
45038-059 Sales / MA",Mato Grosso,Brasil
72,Aurora Moraes,243.671.508-44,60,27/11/1963,"Praça Costela
Alípio De Melo
76348682 Albuquerque / AP",Bahia,Brasil
73,Esther da Rocha,320.859.461-51,37,15/01/1987,,,Brasil
74,Maria Fernanda Carvalho,964.137.852-09,52,28/12/1971,"Aeroporto de Cunha, 85
Lagoinha
45872950 Siqueira do Galho / GO",Paraná,Brasil
75,Isaque Casa Grande,836.459.172-09,19,09/09/2004,"Colônia Farias, 35
Carmo
57897-555 Fernandes / TO",Rondônia,Brasil
76,Cecilia Barbosa,192.856.403-89,40,07/03/1984,"Conjunto de Cassiano, 502
Vila Independencia 3ª Seção
03490-817 Gomes / MA",Amazonas,Brasil
77,Sr. Davi Miguel Rodrigues,841.560.972-85,45,07/04/1979,"Vale Kamilly Castro, 41
Vila Da Paz
11150245 Nogueira Verde / SE",Ceará,Brasil
78,Ana Julia Gomes,690.214.538-51,54,24/05/1970,"Praia de Machado, 9
Baleia
94969351 Pacheco de Mendonça / PA",Rondônia,Brasil
79,Antônio Caldeira,524.189.360-15,55,18/05/1969,"Vereda Yan Oliveira, 310
Santa Cecilia
67082-669 Peixoto / RS",Pará,Brasil
80,Dr. José Miguel Aparecida,023.597.641-52,53,09/10/1970,"Parque Théo Fernandes, 87
Conjunto Novo Dom Bosco
59811-864 Carvalho / ES",Alagoas,Brasil
81,Guilherme Fogaça,645.908.217-02,34,21/08/1989,"Trevo Novaes, 96
Vila Satélite
58567063 Andrade das Pedras / AC",Piauí,Brasil
82,Maya Duarte,197.326.480-31,30,13/07/1994,"Via Clarice Aragão
Lindéia
83337719 Siqueira / RO",Rio Grande do Norte,Brasil
83,Théo Santos,651.320.897-12,30,27/09/1993,"Jardim Cardoso, 34
Barão Homem De Melo 1ª Seção
90175-230 Teixeira do Galho / MG",Ceará,Brasil
84,Dra. Ana Vitória das Neves,736.582.901-02,53,30/12/1970,"Condomínio Pietro Azevedo, 89
Lagoinha Leblon
99626862 Lopes / RR",Mato Grosso do Sul,Brasil
85,Maria Fernanda Aragão,034.512.768-44,26,07/11/1997,"Jardim Hadassa Freitas, 155
Pedreira Padro Lopes
11997777 Rocha / PE",Sergipe,Brasil
86,João Pedro Viana,,54,16/03/1970,"Vereda Lorena Campos, 1
Vila Minaslandia
53149689 Nascimento / RR",Minas Gerais,Brasil
87,Gabriel Macedo,125.480.639-33,56,04/03/1968,"Loteamento de Costela, 70
Vila Madre Gertrudes 1ª Seção
69969959 das Neves de Sales / CE",Maranhão,Brasil
88,João Lucas Teixeira,923.854.160-42,24,02/01/2000,"Colônia de Correia, 95
Vila Da Ária
04607550 Costela / AL",Paraná,Brasil
89,Julia Gomes,568.740.319-10,29,06/11/1994,"Ladeira Lívia Marques
Horto
07022-723 Marques / BA",São Paulo,Brasil
90,Enrico Melo,510.982.436-33,22,17/07/2002,"Parque Maria Clara Siqueira, 96
Nova Suíça
85956-136 Moura de Peixoto / RN",Mato Grosso do Sul,Brasil
91,Camila Nascimento,342.706.519-70,60,27/09/1963,"Vereda Sousa, 57
Vila Pinho
74307-944 Jesus / PR",Rondônia,Brasil
92,Emanuella Siqueira,064.823.719-22,28,27/05/1996,"Praia de Machado, 201
Nova Gameleira
17389954 Caldeira / AC",Maranhão,Brasil
93,Gabrielly das Neves,169.325.708-40,44,13/09/1979,"Feira de Martins, 97
Novo Das Industrias
35716019 Silveira de Martins / RO",Paraíba,Brasil
94,Pedro Henrique Peixoto,980.165.274-85,23,15/03/2001,"Residencial de Rezende, 78
Piratininga
39639-225 Sousa de da Luz / PR",Rondônia,Brasil
95,Agatha Ramos,964.780.523-38,40,06/09/1983,"Praia Sousa, 210
Carlos Prates
33461-902 Casa Grande / MT",Mato Grosso do Sul,Brasil
96,Sr. Yago da Cunha,963.087.154-84,43,11/12/1980,"Rodovia Marcela Garcia, 4
Araguaia
19049-127 Monteiro / GO",Rondônia,Brasil
97,Emilly Ramos,405.718.923-88,47,03/12/1976,"Favela de Correia, 96
Cinquentenário
06481718 Aparecida / MG",Tocantins,Brasil
98,Camila Ramos,087.269.531-02,19,07/09/2004,"Colônia Cassiano, 80
Santa Cruz
58423-771 Oliveira / RN",Distrito Federal,Brasil
99,Mariane Martins,823.597.164-09,38,07/01/1986,"Estação Vasconcelos, 12
Oeste
48382-874 Moreira da Praia / RR",Pará,Brasil
100,Mariane Lopes,671.205.384-62,25,06/09/1998,"Loteamento Ribeiro, 52
Taquaril
82794-640 Fogaça de Câmara / PA",Rondônia,Brasil
101,Davi Sousa,274.081.693-69,43,11/09/1980,"Quadra de da Mota, 11
Granja De Freitas
21319499 Fonseca / AC",Roraima,Brasil
102,Benjamim da Costa,158.063.794-93,31,16/07/1993,"Praia Santos, 69
Jardim Alvorada
31824255 da Paz da Serra / RN",Piauí,Brasil
103,Maitê Rocha,902.716.435-52,49,27/11/1974,"Rua de Souza
Mariquinhas
57655-661 Cavalcanti das Pedras / PB",Pará,Brasil
104,Matteo Caldeira,720.145.389-05,42,30/12/1981,"Colônia Alexia Sá
Vila Betânia
16323650 da Cruz / SP",Goiás,Brasil
105,Sra. Emanuella Barbosa,891.706.243-13,40,19/05/1984,"Morro João Lucas Gomes, 81
Vila São Rafael
93976729 Rezende Alegre / MS",Rio Grande do Sul,Brasil
106,Stella Rodrigues,231.659.408-51,26,23/11/1997,"Estrada Abreu
São Sebastião
07791-004 Oliveira / AL",Distrito Federal,Brasil
107,Luara da Cruz,916.734.082-22,25,14/12/1998,"Trevo Mendonça, 9
Vila De Sá
89687-634 da Costa / MA",Ceará,Brasil
108,Ana Lívia Araújo,159.678.340-01,48,26/11/1975,"Trecho Maria Eduarda Nascimento
Liberdade
97384852 Mendonça das Flores / PA",Goiás,Brasil
109,Bárbara Azevedo,392.508.641-24,28,05/11/1995,"Setor de Fogaça, 79
Mantiqueira
93131-797 Novaes do Galho / DF",Rio Grande do Sul,Brasil
110,Srta. Maria Isis Casa Grande,097.481.362-13,57,22/11/1966,"Esplanada de da Cunha, 53
Heliopolis
51817-170 Vargas / AM",Santa Catarina,Brasil
111,Lucas Novaes,596.728.134-73,30,20/01/1994,"Núcleo Sales, 3
Minas Brasil
19930-590 Araújo / DF",Acre,Brasil
112,Lívia da Costa,714.583.092-23,49,16/05/1975,"Condomínio Sá, 30
Flamengo
73726959 da Rocha da Mata / GO",Distrito Federal,Brasil
113,Marcos Vinicius Moura,072.153.468-62,38,28/07/1986,"Esplanada de Silveira, 14
Conjunto Capitão Eduardo
33491260 Brito de Minas / RR",Distrito Federal,Brasil
114,Mathias Azevedo,560.297.438-56,42,27/12/1981,"Avenida Josué Leão, 12
Vila Copacabana
24114-813 Aragão da Prata / CE",Alagoas,Brasil
115,Allana Azevedo,154.793.602-99,33,27/04/1991,"Rodovia Davi Miguel Siqueira, 28
Eymard
66181-259 Brito do Norte / AM",Piauí,Brasil
116,Ryan da Rocha,590.236.178-86,48,22/02/1976,"Estrada de Silva, 360
Belvedere
43432-543 Oliveira / PI",Amapá,Brasil
117,André da Cunha,873.056.941-93,26,11/02/1998,"Lago Ribeiro, 23
Santa Sofia
56085-078 Borges / RN",Paraíba,Brasil
118,Murilo Carvalho,538.071.264-90,46,16/01/1978,"Ladeira Moraes
Santa Lúcia
24038271 Pastor de Costela / SE",Ceará,Brasil
119,Enrico Albuquerque,196.285.043-98,25,08/12/1998,"Vale de Garcia, 37
São Vicente
27980669 Abreu / MS",Rondônia,Brasil
120,Augusto Borges,156.387.024-07,32,02/05/1992,"Núcleo de Abreu
Vila Real 2ª Seção
91457559 da Mata de Minas / CE",Pará,Brasil
121,Daniela Fonseca,854.609.372-56,48,26/07/1976,"Via de Cavalcante, 33
Graça
81472-992 Porto / PE",Distrito Federal,Brasil
122,Marcela Sá,168.273.054-90,58,04/09/1965,"Esplanada Gabrielly Sousa, 45
Vila Trinta E Um De Março
89391-517 Martins / MG",Sergipe,Brasil
123,Maria Clara Vasconcelos,540.128.937-50,33,06/07/1991,"Recanto Macedo, 74
São Jorge 3ª Seção
59307-470 Rocha do Oeste / RO",Alagoas,Brasil
124,Dr. Joaquim Pastor,621.435.708-80,51,06/03/1973,"Campo Araújo, 28
Mirante
33226172 Cirino Alegre / SC",Rio de Janeiro,Brasil
125,Vinicius Silva,860.243.975-00,48,21/02/1976,"Conjunto Felipe Sampaio, 28
Alpes
73073941 Marques do Norte / MG",Mato Grosso,Brasil
126,Dr. Apollo Andrade,702.389.146-31,45,19/05/1979,"Estação Melo, 86
Parque São Pedro
23534155 Rocha / PI",Mato Grosso do Sul,Brasil
127,Aylla da Paz,531.764.908-01,50,24/01/1974,"Viaduto Sofia Novaes, 838
Copacabana
34538-198 Dias / BA",Mato Grosso do Sul,Brasil
128,Laura Barros,983.725.064-00,31,03/04/1993,"Ladeira Bella Santos
Candelaria
26946-562 Aragão de Cirino / CE",Amapá,Brasil
129,Esther Melo,,19,26/04/2005,"Praça de Marques, 63
Vila Jardim Leblon
43197059 Porto / PB",Rio Grande do Sul,Brasil
130,Maria Alice Viana,935.048.716-01,59,06/08/1965,"Área Dias
Nossa Senhora Aparecida
57788-414 Casa Grande / RJ",Maranhão,Brasil
131,Paulo Barbosa,793.682.105-86,34,07/09/1989,"Aeroporto Maria Júlia Garcia, 45
Salgado Filho
13627-346 Gomes / SC",Espírito Santo,Brasil
132,Isadora da Paz,362.701.459-61,22,04/12/2001,"Recanto Pereira, 538
Bonsucesso
80406-920 Silva / RS",Sergipe,Brasil
133,Enzo Gabriel da Paz,954.271.386-09,32,28/01/1992,"Largo de Novais, 86
Monsenhor Messias
87524223 Cavalcanti / MG",Acre,Brasil
134,Joana Azevedo,571.860.329-40,23,30/11/2000,"Rua de Jesus
Marajó
20567985 Campos do Galho / PE",Santa Catarina,Brasil
135,Ana Laura da Cruz,769.382.051-59,19,30/06/2005,"Alameda Dom Moraes, 414
Virgínia
07982946 Aparecida / RR",São Paulo,Brasil
136,Liz Albuquerque,045.937.826-00,58,03/07/1966,"Área Zoe Melo, 69
Vila Novo São Lucas
85145550 Melo / ES",Pará,Brasil
137,Alexia Almeida,012.864.573-35,29,11/10/1994,"Vila Cirino, 112
São Geraldo
12638733 Souza / AM",Maranhão,Brasil
138,Gustavo Henrique Ferreira,056.427.938-29,51,01/10/1972,"Favela Montenegro, 7
Tupi A
30579-045 Fonseca de Borges / AC",Rio de Janeiro,Brasil
139,Francisco Campos,843.591.072-50,21,10/03/2003,"Vale Maria Vitória Novais, 61
Vila São Francisco
17446-067 Peixoto / PI",Rio de Janeiro,Brasil
140,Amanda Almeida,180.547.293-32,49,13/01/1975,"Lagoa da Mata, 70
Maria Helena
31773-989 Freitas do Campo / PR",Distrito Federal,Brasil
141,Antony Correia,579.128.630-95,46,08/09/1977,"Loteamento de Caldeira, 45
Beija Flor
79778620 Araújo / MG",Sergipe,Brasil
142,Mirella Pereira,649.502.187-94,26,08/08/1998,"Vale Camargo, 43
Jatobá
06233-126 Ramos / PB",Tocantins,Brasil
143,Davi Luiz Fogaça,531.286.947-37,27,25/06/1997,"Viela de Carvalho, 65
Frei Leopoldo
41688584 Pimenta / MG",Rondônia,Brasil
144,Sarah Cunha,714.256.309-52,50,01/10/1973,"Parque Siqueira, 7
Conjunto Capitão Eduardo
84817277 da Conceição de Correia / CE",Piauí,Brasil
145,Catarina da Costa,195.740.826-01,39,22/01/1985,"Condomínio de Abreu, 71
Grotinha
34555185 Fernandes de Freitas / RJ",Mato Grosso,Brasil
146,Davi Lucca Rodrigues,215.976.038-21,60,31/12/1963,,,Brasil
147,Helena Pacheco,460.153.982-05,52,09/04/1972,"Praia de Ramos, 833
Vila São Gabriel Jacui
95117-100 Ramos do Galho / AP",Sergipe,Brasil
148,Luana Guerra,867.095.314-57,28,26/11/1995,"Parque Pimenta, 14
Tirol
45677-554 Cassiano da Mata / PA",Santa Catarina,Brasil
149,Julia Câmara,024.951.678-02,18,21/06/2006,"Área Mateus Novais, 82
Vila Mangueiras
95341691 Melo / PI",Rio de Janeiro,Brasil
150,Isis Nascimento,028.413.759-60,60,03/07/1964,"Estação Cavalcante, 85
São Jorge 3ª Seção
79719998 Peixoto / AM",Minas Gerais,Brasil
151,Helena Monteiro,064.592.371-07,42,26/03/1982,"Sítio de Albuquerque, 737
Coração De Jesus
27151512 Leão / RN",Paraíba,Brasil
152,Luiz Miguel Martins,657.430.921-25,45,12/02/1979,"Rodovia Guilherme Fonseca, 2
Novo Das Industrias
66787-949 Gonçalves de Minas / AL",Roraima,Brasil
153,Alice Moraes,107.894.256-02,18,25/12/2005,"Viela da Luz
Rio Branco
77325816 Almeida / TO",Sergipe,Brasil
154,Dr. Marcos Vinicius Pimenta,056.127.348-08,36,10/11/1987,"Lagoa de da Luz, 72
São Francisco Das Chagas
49725-022 da Luz da Praia / MG",São Paulo,Brasil
155,Cauê da Paz,421.730.685-71,24,08/07/2000,"Quadra Bruno Moreira
Ernesto Nascimento
11396179 Moraes do Norte / RS",São Paulo,Brasil
156,Ágatha Camargo,286.195.370-59,51,04/12/1972,"Fazenda Elisa Pereira, 65
Lorena
90775-433 Pacheco / CE",Sergipe,Brasil
157,Srta. Emilly Sales,753.694.028-92,44,23/04/1980,"Via Mariah Cunha
Carlos Prates
20194227 Nascimento da Prata / CE",Mato Grosso,Brasil
158,Dra. Isabela Cirino,591.034.862-06,44,29/08/1979,"Avenida Camila Farias, 72
Confisco
33805219 Pacheco / RO",Ceará,Brasil
159,José Souza,275.408.961-67,19,06/05/2005,"Área Erick Carvalho, 48
Castanheira
72684-846 Almeida / CE",Bahia,Brasil
160,Josué Mendes,063.954.281-60,60,25/06/1964,"Trecho Breno Lima, 542
Brasil Industrial
89426126 Lopes / MT",Roraima,Brasil
161,Otto Câmara,528.079.164-49,37,25/11/1986,"Condomínio Beatriz Dias, 79
Conjunto Califórnia Ii
71757669 Pereira / MS",Mato Grosso do Sul,Brasil
162,Lucas Gabriel Vasconcelos,519.870.436-93,50,31/07/1974,"Praça Maria Clara Farias
Varzea Da Palma
69448681 Monteiro / MT",Maranhão,Brasil
163,Dra. Ana Carolina da Paz,391.648.205-05,40,26/03/1984,"Pátio Kevin Siqueira
Jardim Do Vale
56563469 Câmara de Marques / PE",Pará,Brasil
164,Benjamim Fogaça,657.309.482-47,33,10/04/1991,"Passarela Almeida, 89
Santa Branca
56800-793 Câmara da Serra / SE",Pernambuco,Brasil
165,Catarina Pinto,680.731.254-71,41,16/11/1982,"Trevo de Pinto, 240
Campo Alegre
66869717 Lima / RO",Piauí,Brasil
166,Cauã Sá,690.142.538-42,53,03/04/1971,"Vereda de Brito, 98
Horto
19037-185 da Mota / PA",São Paulo,Brasil
167,Anthony Ferreira,976.321.450-52,45,08/01/1979,"Núcleo Bernardo Farias, 26
Ambrosina
91128-407 Pinto / PR",Amazonas,Brasil
168,Srta. Gabriela Martins,975.463.820-92,21,09/10/2002,"Estrada João Gabriel Leão, 2
Lagoinha Leblon
24010764 Vargas de Minas / PI",Paraná,Brasil
169,Kamilly Casa Grande,052.197.486-02,45,25/04/1979,"Lagoa de Castro, 88
Engenho Nogueira
41370-395 Abreu das Pedras / BA",Acre,Brasil
170,Fernanda Melo,587.496.231-09,54,20/11/1969,"Rua Barros, 59
Vila Aeroporto Jaraguá
89115-412 Borges / AM",Maranhão,Brasil
171,Ana Vitória Rios,710.392.468-69,55,06/02/1969,"Alameda Casa Grande
Cenaculo
31338-272 Pires da Prata / SP",Rondônia,Brasil
172,Marcelo da Mota,,54,06/05/1970,"Trevo de Ramos, 83
Flavio De Oliveira
94110-103 Sousa / MG",Acre,Brasil
173,Maria Eduarda da Mota,649.815.370-93,19,08/09/2004,"Trevo Pedro Lucas Viana, 26
Nova Cintra
12529520 Ferreira / BA",Santa Catarina,Brasil
174,Isabela Sá,831.540.926-33,23,23/09/2000,"Trevo de Ferreira, 70
Apolonia
24658-178 Rodrigues / SC",Roraima,Brasil
175,Luiz Gustavo Albuquerque,154.780.629-01,37,05/09/1986,"Setor Santos, 7
Vila Independencia 3ª Seção
25416409 Barbosa de Garcia / AL",São Paulo,Brasil
176,Beatriz Lopes,234.685.910-98,18,21/01/2006,"Avenida Heitor Martins, 74
Universitário
58417-040 Rezende de Leão / AP",Pernambuco,Brasil
177,Josué Costa,732.405.819-14,57,06/12/1966,"Lagoa João Gabriel Jesus, 92
Vila Pilar
85680733 Mendes / MA",Bahia,Brasil
