nome,cpf,idade,data,endereco,estado
Oliver Nogueira,785.412.960-67,24,2000-01-01,"via mendes
conjunto califórnia i
29134282 rocha / rr",AMAZONAS
Rael Sousa,709.148.236-04,20,2003-12-14,"passarela de siqueira, 50
nossa senhora aparecida
30936360 rezende do oeste / sc",PARAÍBA
Srta. Bruna Câmara,082.796.534-65,46,1978-07-18,"via rafaela costa, 985
coração eucarístico
90467-149 sales / pa",AMAPÁ
João Lucas Novaes,910.253.784-23,30,1993-12-23,"viaduto almeida, 85
pongelupe
26095-558 cassiano paulista / rj",AMAPÁ
Calebe Nascimento,897.352.164-00,52,1971-12-30,"morro rodrigues, 23
palmeiras
06086196 gomes / al",BAHIA
Larissa Aragão,241.386.590-05,20,2004-02-08,"pátio davi miguel brito, 47
vila maloca
05775-976 brito das flores / sc",SERGIPE
Maria Sophia Nascimento,560.941.783-00,41,1983-08-08,"viaduto de rodrigues, 72
grajaú
51353666 silveira de dias / ce",MINAS GERAIS
Maria Vitória Lima,953.248.601-15,55,1969-02-03,"favela lopes, 13
parque são josé
79603093 leão do sul / rr",AMAPÁ
Bianca Fogaça,657.309.281-30,49,1974-12-11,"viaduto ramos, 21
novo ouro preto
08634388 fogaça / ce",MINAS GERAIS
Yago Da Rocha,501.782.346-80,31,1993-05-29,"avenida luiz otávio albuquerque
conjunto jardim filadélfia
39241165 da mota da mata / pa",TOCANTINS
Sra. Valentina Fogaça,167.824.059-11,38,1985-12-23,"largo catarina cavalcanti, 70
são francisco das chagas
48629181 silva / se",MARANHÃO
Sra. Maria Julia Cassiano,157.984.036-10,46,1977-12-21,"vila caldeira, 90
flamengo
02275719 lima de araújo / rj",SÃO PAULO
Otávio Fogaça,284.319.650-70,37,1987-07-28,"quadra cassiano, 39
novo glória
30222613 viana verde / rs",MATO GROSSO DO SUL
Milena Cirino,796.453.820-92,39,1984-09-05,"praia de pires, 50
conjunto lagoa
75460627 pinto da praia / rs",RIO GRANDE DO SUL
Elisa Souza,904.235.876-92,52,1971-09-06,"trevo de azevedo, 2
grotinha
11780431 mendes / df",MINAS GERAIS
Fernando Cassiano,456.823.791-28,28,1996-02-17,"viela moreira, 3
cardoso
16023529 rocha de das neves / go",RONDÔNIA
João Gabriel Freitas,047.256.831-08,56,1967-12-07,"favela barros, 84
vila são rafael
30479-699 sampaio paulista / sp",BAHIA
Isadora Guerra,038.694.127-04,34,1989-09-26,"esplanada martins, 29
vila novo são lucas
44641-592 pereira / mg",SANTA CATARINA
Emanuel Leão,853.902.471-32,43,1980-12-07,"jardim fonseca, 4
conjunto califórnia i
28126268 pastor do campo / pa",AMAZONAS
Vitor Hugo Castro,689.037.412-69,46,1978-06-11,"núcleo de vasconcelos, 13
são salvador
93183-963 barbosa de minas / pa",AMAZONAS
Felipe Nascimento,716.842.930-22,59,1965-05-29,"vale da luz, 31
novo das industrias
75999506 santos / df",MARANHÃO
Ian Dias,360.219.475-25,55,1969-03-17,"morro laura da mota, 285
novo são lucas
04438135 cirino de minas / to",RIO GRANDE DO NORTE
Maria Clara Jesus,091.243.865-70,37,1987-03-11,"praia ramos, 507
joão alfredo
49676-239 da cunha / ba",RIO GRANDE DO SUL
Maria Alice Rodrigues,528.310.694-24,29,1995-03-04,"alameda pinto, 1
bacurau
76948181 da rosa / pe",TOCANTINS
Ágatha Gonçalves,098.432.165-98,35,1989-06-30,"favela pietro porto, 52
atila de paiva
62918-358 camargo / am",MINAS GERAIS
Maria Eduarda Da Mota,071.843.956-20,24,2000-07-25,"viela lopes, 557
oeste
94445-560 aparecida alegre / ce",AMAPÁ
Dr. Luan Moreira,465.029.138-06,58,1966-05-08,"viaduto marcelo cassiano, 5
sion
64231-637 da luz do campo / mt",SÃO PAULO
Juliana Melo,674.590.128-58,51,1972-10-16,"feira de melo
alta tensão 1ª seção
73173-924 nogueira / rr",MINAS GERAIS
Bianca Fernandes,178.096.245-20,47,1977-06-01,"trevo duarte, 32
flavio de oliveira
86674437 fonseca do amparo / se",PERNAMBUCO
Juan Albuquerque,985.703.642-29,39,1985-03-06,"lago hadassa nascimento
são sebastião
34779-428 fernandes verde / rn",MATO GROSSO
Guilherme Sales,298.106.735-40,21,2002-09-26,"distrito esther jesus, 5
barão homem de melo 1ª seção
46672-350 macedo do oeste / rr",SÃO PAULO
Calebe Brito,208.514.936-70,37,1987-07-05,"quadra de cavalcanti, 90
lorena
23398-883 porto / ce",ALAGOAS
Carolina Pereira,174.283.605-44,59,1964-09-25,"viela paulo rezende, 9
santa terezinha
10416779 guerra da praia / se",MINAS GERAIS
Emanuella Mendes,236.785.190-59,46,1977-10-27,"área sofia lopes, 185
jardim vitoria
95425030 fogaça / mg",MATO GROSSO
Ester Santos,690.371.548-75,26,1998-04-02,"parque ana luiza santos, 5
universo
28951067 machado / ac",RIO GRANDE DO SUL
Natália Machado,712.806.594-67,35,1988-10-22,"quadra guilherme camargo, 1
sport club
78369-635 andrade das flores / sp",RORAIMA
João Mendonça,043.125.869-42,35,1989-01-03,"conjunto nunes
conjunto celso machado
96648-569 pinto / ro",SÃO PAULO
Maitê Da Cruz,305.718.492-88,49,1974-09-22,"fazenda bruno nunes, 24
trevo
48552900 da rosa / to",ACRE
Calebe Silveira,152.709.684-01,44,1980-06-10,"campo nascimento
teixeira dias
94940999 costa da mata / rr",ALAGOAS
Gustavo Siqueira,973.145.062-99,30,1994-02-05,"jardim rios, 5
betânia
66433-909 viana / rj",MATO GROSSO
Dr. José Brito,103.592.486-24,33,1991-05-04,"vale mendonça, 1
vila nova cachoeirinha 3ª seção
14203261 caldeira de goiás / mt",AMAZONAS
Sara Costela,349.572.018-97,53,1971-02-16,"rua manuela lima, 21
floresta
91557375 pimenta da serra / pr",CEARÁ
Cecilia Barros,168.923.547-00,54,1969-08-17,"parque albuquerque, 64
concórdia
12566-037 sales / pi",ALAGOAS
Renan Rocha,840.169.527-94,53,1971-04-24,"estação de carvalho, 139
piratininga
01524-069 da cruz alegre / ac",ESPÍRITO SANTO
Sra. Ana Sá,471.359.682-55,21,2003-03-14,"vereda luana marques, 87
itatiaia
59670-233 vargas do norte / rn",RONDÔNIA
Raquel Sampaio,406.289.175-11,28,1995-10-08,"colônia de alves, 73
leticia
61834216 barros do campo / ro",PARÁ
Luísa Santos,026.483.159-42,48,1976-06-10,"rua joana macedo, 19
lajedo
19032960 almeida / pa",AMAZONAS
Vitor Hugo Duarte,084.179.263-13,54,1969-10-27,"vale catarina lima, 80
vila sumaré
98971106 lopes alegre / to",PARANÁ
Lavínia Almeida,352.409.718-97,22,2002-02-13,"distrito maria alice jesus, 24
vila ipiranga
02806030 jesus / ro",RONDÔNIA
Guilherme Macedo,649.128.750-58,46,1978-07-12,"morro viana, 64
vila nova dos milionarios
45038-059 sales / ma",MATO GROSSO
Aurora Moraes,243.671.508-44,60,1963-11-27,"praça costela
alípio de melo
76348682 albuquerque / ap",BAHIA
Esther Da Rocha,320.859.461-51,37,1987-01-15,Endereço não informado,Desconhecido
Maria Fernanda Carvalho,964.137.852-09,52,1971-12-28,"aeroporto de cunha, 85
lagoinha
45872950 siqueira do galho / go",PARANÁ
Isaque Casa Grande,836.459.172-09,19,2004-09-09,"colônia farias, 35
carmo
57897-555 fernandes / to",RONDÔNIA
Cecilia Barbosa,192.856.403-89,40,1984-03-07,"conjunto de cassiano, 502
vila independencia 3ª seção
03490-817 gomes / ma",AMAZONAS
Sr. Davi Miguel Rodrigues,841.560.972-85,45,1979-04-07,"vale kamilly castro, 41
vila da paz
11150245 nogueira verde / se",CEARÁ
Ana Julia Gomes,690.214.538-51,54,1970-05-24,"praia de machado, 9
baleia
94969351 pacheco de mendonça / pa",RONDÔNIA
Antônio Caldeira,524.189.360-15,55,1969-05-18,"vereda yan oliveira, 310
santa cecilia
67082-669 peixoto / rs",PARÁ
Dr. José Miguel Aparecida,023.597.641-52,53,1970-10-09,"parque théo fernandes, 87
conjunto novo dom bosco
59811-864 carvalho / es",ALAGOAS
Guilherme Fogaça,645.908.217-02,34,1989-08-21,"trevo novaes, 96
vila satélite
58567063 andrade das pedras / ac",PIAUÍ
Maya Duarte,197.326.480-31,30,1994-07-13,"via clarice aragão
lindéia
83337719 siqueira / ro",RIO GRANDE DO NORTE
Théo Santos,651.320.897-12,30,1993-09-27,"jardim cardoso, 34
barão homem de melo 1ª seção
90175-230 teixeira do galho / mg",CEARÁ
Dra. Ana Vitória Das Neves,736.582.901-02,53,1970-12-30,"condomínio pietro azevedo, 89
lagoinha leblon
99626862 lopes / rr",MATO GROSSO DO SUL
Maria Fernanda Aragão,034.512.768-44,26,1997-11-07,"jardim hadassa freitas, 155
pedreira padro lopes
11997777 rocha / pe",SERGIPE
Gabriel Macedo,125.480.639-33,56,1968-03-04,"loteamento de costela, 70
vila madre gertrudes 1ª seção
69969959 das neves de sales / ce",MARANHÃO
João Lucas Teixeira,923.854.160-42,24,2000-01-02,"colônia de correia, 95
vila da ária
04607550 costela / al",PARANÁ
Julia Gomes,568.740.319-10,29,1994-11-06,"ladeira lívia marques
horto
07022-723 marques / ba",SÃO PAULO
Enrico Melo,510.982.436-33,22,2002-07-17,"parque maria clara siqueira, 96
nova suíça
85956-136 moura de peixoto / rn",MATO GROSSO DO SUL
Camila Nascimento,342.706.519-70,60,1963-09-27,"vereda sousa, 57
vila pinho
74307-944 jesus / pr",RONDÔNIA
Emanuella Siqueira,064.823.719-22,28,1996-05-27,"praia de machado, 201
nova gameleira
17389954 caldeira / ac",MARANHÃO
Gabrielly Das Neves,169.325.708-40,44,1979-09-13,"feira de martins, 97
novo das industrias
35716019 silveira de martins / ro",PARAÍBA
Pedro Henrique Peixoto,980.165.274-85,23,2001-03-15,"residencial de rezende, 78
piratininga
39639-225 sousa de da luz / pr",RONDÔNIA
Agatha Ramos,964.780.523-38,40,1983-09-06,"praia sousa, 210
carlos prates
33461-902 casa grande / mt",MATO GROSSO DO SUL
Sr. Yago Da Cunha,963.087.154-84,43,1980-12-11,"rodovia marcela garcia, 4
araguaia
19049-127 monteiro / go",RONDÔNIA
Emilly Ramos,405.718.923-88,47,1976-12-03,"favela de correia, 96
cinquentenário
06481718 aparecida / mg",TOCANTINS
Camila Ramos,087.269.531-02,19,2004-09-07,"colônia cassiano, 80
santa cruz
58423-771 oliveira / rn",DISTRITO FEDERAL
Mariane Martins,823.597.164-09,38,1986-01-07,"estação vasconcelos, 12
oeste
48382-874 moreira da praia / rr",PARÁ
Mariane Lopes,671.205.384-62,25,1998-09-06,"loteamento ribeiro, 52
taquaril
82794-640 fogaça de câmara / pa",RONDÔNIA
Davi Sousa,274.081.693-69,43,1980-09-11,"quadra de da mota, 11
granja de freitas
21319499 fonseca / ac",RORAIMA
Benjamim Da Costa,158.063.794-93,31,1993-07-16,"praia santos, 69
jardim alvorada
31824255 da paz da serra / rn",PIAUÍ
Maitê Rocha,902.716.435-52,49,1974-11-27,"rua de souza
mariquinhas
57655-661 cavalcanti das pedras / pb",PARÁ
Matteo Caldeira,720.145.389-05,42,1981-12-30,"colônia alexia sá
vila betânia
16323650 da cruz / sp",GOIÁS
Sra. Emanuella Barbosa,891.706.243-13,40,1984-05-19,"morro joão lucas gomes, 81
vila são rafael
93976729 rezende alegre / ms",RIO GRANDE DO SUL
Stella Rodrigues,231.659.408-51,26,1997-11-23,"estrada abreu
são sebastião
07791-004 oliveira / al",DISTRITO FEDERAL
Luara Da Cruz,916.734.082-22,25,1998-12-14,"trevo mendonça, 9
vila de sá
89687-634 da costa / ma",CEARÁ
Ana Lívia Araújo,159.678.340-01,48,1975-11-26,"trecho maria eduarda nascimento
liberdade
97384852 mendonça das flores / pa",GOIÁS
Bárbara Azevedo,392.508.641-24,28,1995-11-05,"setor de fogaça, 79
mantiqueira
93131-797 novaes do galho / df",RIO GRANDE DO SUL
Srta. Maria Isis Casa Grande,097.481.362-13,57,1966-11-22,"esplanada de da cunha, 53
heliopolis
51817-170 vargas / am",SANTA CATARINA
Lucas Novaes,596.728.134-73,30,1994-01-20,"núcleo sales, 3
minas brasil
19930-590 araújo / df",ACRE
Lívia Da Costa,714.583.092-23,49,1975-05-16,"condomínio sá, 30
flamengo
73726959 da rocha da mata / go",DISTRITO FEDERAL
Marcos Vinicius Moura,072.153.468-62,38,1986-07-28,"esplanada de silveira, 14
conjunto capitão eduardo
33491260 brito de minas / rr",DISTRITO FEDERAL
Mathias Azevedo,560.297.438-56,42,1981-12-27,"avenida josué leão, 12
vila copacabana
24114-813 aragão da prata / ce",ALAGOAS
Allana Azevedo,154.793.602-99,33,1991-04-27,"rodovia davi miguel siqueira, 28
eymard
66181-259 brito do norte / am",PIAUÍ
Ryan Da Rocha,590.236.178-86,48,1976-02-22,"estrada de silva, 360
belvedere
43432-543 oliveira / pi",AMAPÁ
André Da Cunha,873.056.941-93,26,1998-02-11,"lago ribeiro, 23
santa sofia
56085-078 borges / rn",PARAÍBA
Murilo Carvalho,538.071.264-90,46,1978-01-16,"ladeira moraes
santa lúcia
24038271 pastor de costela / se",CEARÁ
Enrico Albuquerque,196.285.043-98,25,1998-12-08,"vale de garcia, 37
são vicente
27980669 abreu / ms",RONDÔNIA
Augusto Borges,156.387.024-07,32,1992-05-02,"núcleo de abreu
vila real 2ª seção
91457559 da mata de minas / ce",PARÁ
Daniela Fonseca,854.609.372-56,48,1976-07-26,"via de cavalcante, 33
graça
81472-992 porto / pe",DISTRITO FEDERAL
Marcela Sá,168.273.054-90,58,1965-09-04,"esplanada gabrielly sousa, 45
vila trinta e um de março
89391-517 martins / mg",SERGIPE
Maria Clara Vasconcelos,540.128.937-50,33,1991-07-06,"recanto macedo, 74
são jorge 3ª seção
59307-470 rocha do oeste / ro",ALAGOAS
Dr. Joaquim Pastor,621.435.708-80,51,1973-03-06,"campo araújo, 28
mirante
33226172 cirino alegre / sc",RIO DE JANEIRO
Vinicius Silva,860.243.975-00,48,1976-02-21,"conjunto felipe sampaio, 28
alpes
73073941 marques do norte / mg",MATO GROSSO
Dr. Apollo Andrade,702.389.146-31,45,1979-05-19,"estação melo, 86
parque são pedro
23534155 rocha / pi",MATO GROSSO DO SUL
Aylla Da Paz,531.764.908-01,50,1974-01-24,"viaduto sofia novaes, 838
copacabana
34538-198 dias / ba",MATO GROSSO DO SUL
Laura Barros,983.725.064-00,31,1993-04-03,"ladeira bella santos
candelaria
26946-562 aragão de cirino / ce",AMAPÁ
Maria Alice Viana,935.048.716-01,59,1965-08-06,"área dias
nossa senhora aparecida
57788-414 casa grande / rj",MARANHÃO
Paulo Barbosa,793.682.105-86,34,1989-09-07,"aeroporto maria júlia garcia, 45
salgado filho
13627-346 gomes / sc",ESPÍRITO SANTO
Isadora Da Paz,362.701.459-61,22,2001-12-04,"recanto pereira, 538
bonsucesso
80406-920 silva / rs",SERGIPE
Enzo Gabriel Da Paz,954.271.386-09,32,1992-01-28,"largo de novais, 86
monsenhor messias
87524223 cavalcanti / mg",ACRE
Joana Azevedo,571.860.329-40,23,2000-11-30,"rua de jesus
marajó
20567985 campos do galho / pe",SANTA CATARINA
Ana Laura Da Cruz,769.382.051-59,19,2005-06-30,"alameda dom moraes, 414
virgínia
07982946 aparecida / rr",SÃO PAULO
Liz Albuquerque,045.937.826-00,58,1966-07-03,"área zoe melo, 69
vila novo são lucas
85145550 melo / es",PARÁ
Alexia Almeida,012.864.573-35,29,1994-10-11,"vila cirino, 112
são geraldo
12638733 souza / am",MARANHÃO
Gustavo Henrique Ferreira,056.427.938-29,51,1972-10-01,"favela montenegro, 7
tupi a
30579-045 fonseca de borges / ac",RIO DE JANEIRO
Francisco Campos,843.591.072-50,21,2003-03-10,"vale maria vitória novais, 61
vila são francisco
17446-067 peixoto / pi",RIO DE JANEIRO
Amanda Almeida,180.547.293-32,49,1975-01-13,"lagoa da mata, 70
maria helena
31773-989 freitas do campo / pr",DISTRITO FEDERAL
Antony Correia,579.128.630-95,46,1977-09-08,"loteamento de caldeira, 45
beija flor
79778620 araújo / mg",SERGIPE
Mirella Pereira,649.502.187-94,26,1998-08-08,"vale camargo, 43
jatobá
06233-126 ramos / pb",TOCANTINS
Davi Luiz Fogaça,531.286.947-37,27,1997-06-25,"viela de carvalho, 65
frei leopoldo
41688584 pimenta / mg",RONDÔNIA
Sarah Cunha,714.256.309-52,50,1973-10-01,"parque siqueira, 7
conjunto capitão eduardo
84817277 da conceição de correia / ce",PIAUÍ
Catarina Da Costa,195.740.826-01,39,1985-01-22,"condomínio de abreu, 71
grotinha
34555185 fernandes de freitas / rj",MATO GROSSO
Davi Lucca Rodrigues,215.976.038-21,60,1963-12-31,Endereço não informado,Desconhecido
Helena Pacheco,460.153.982-05,52,1972-04-09,"praia de ramos, 833
vila são gabriel jacui
95117-100 ramos do galho / ap",SERGIPE
Luana Guerra,867.095.314-57,28,1995-11-26,"parque pimenta, 14
tirol
45677-554 cassiano da mata / pa",SANTA CATARINA
Julia Câmara,024.951.678-02,18,2006-06-21,"área mateus novais, 82
vila mangueiras
95341691 melo / pi",RIO DE JANEIRO
Isis Nascimento,028.413.759-60,60,1964-07-03,"estação cavalcante, 85
são jorge 3ª seção
79719998 peixoto / am",MINAS GERAIS
Helena Monteiro,064.592.371-07,42,1982-03-26,"sítio de albuquerque, 737
coração de jesus
27151512 leão / rn",PARAÍBA
Luiz Miguel Martins,657.430.921-25,45,1979-02-12,"rodovia guilherme fonseca, 2
novo das industrias
66787-949 gonçalves de minas / al",RORAIMA
Alice Moraes,107.894.256-02,18,2005-12-25,"viela da luz
rio branco
77325816 almeida / to",SERGIPE
Dr. Marcos Vinicius Pimenta,056.127.348-08,36,1987-11-10,"lagoa de da luz, 72
são francisco das chagas
49725-022 da luz da praia / mg",SÃO PAULO
Cauê Da Paz,421.730.685-71,24,2000-07-08,"quadra bruno moreira
ernesto nascimento
11396179 moraes do norte / rs",SÃO PAULO
Ágatha Camargo,286.195.370-59,51,1972-12-04,"fazenda elisa pereira, 65
lorena
90775-433 pacheco / ce",SERGIPE
Srta. Emilly Sales,753.694.028-92,44,1980-04-23,"via mariah cunha
carlos prates
20194227 nascimento da prata / ce",MATO GROSSO
Dra. Isabela Cirino,591.034.862-06,44,1979-08-29,"avenida camila farias, 72
confisco
33805219 pacheco / ro",CEARÁ
José Souza,275.408.961-67,19,2005-05-06,"área erick carvalho, 48
castanheira
72684-846 almeida / ce",BAHIA
Josué Mendes,063.954.281-60,60,1964-06-25,"trecho breno lima, 542
brasil industrial
89426126 lopes / mt",RORAIMA
Otto Câmara,528.079.164-49,37,1986-11-25,"condomínio beatriz dias, 79
conjunto califórnia ii
71757669 pereira / ms",MATO GROSSO DO SUL
Lucas Gabriel Vasconcelos,519.870.436-93,50,1974-07-31,"praça maria clara farias
varzea da palma
69448681 monteiro / mt",MARANHÃO
Dra. Ana Carolina Da Paz,391.648.205-05,40,1984-03-26,"pátio kevin siqueira
jardim do vale
56563469 câmara de marques / pe",PARÁ
Benjamim Fogaça,657.309.482-47,33,1991-04-10,"passarela almeida, 89
santa branca
56800-793 câmara da serra / se",PERNAMBUCO
Catarina Pinto,680.731.254-71,41,1982-11-16,"trevo de pinto, 240
campo alegre
66869717 lima / ro",PIAUÍ
Cauã Sá,690.142.538-42,53,1971-04-03,"vereda de brito, 98
horto
19037-185 da mota / pa",SÃO PAULO
Anthony Ferreira,976.321.450-52,45,1979-01-08,"núcleo bernardo farias, 26
ambrosina
91128-407 pinto / pr",AMAZONAS
Srta. Gabriela Martins,975.463.820-92,21,2002-10-09,"estrada joão gabriel leão, 2
lagoinha leblon
24010764 vargas de minas / pi",PARANÁ
Kamilly Casa Grande,052.197.486-02,45,1979-04-25,"lagoa de castro, 88
engenho nogueira
41370-395 abreu das pedras / ba",ACRE
Fernanda Melo,587.496.231-09,54,1969-11-20,"rua barros, 59
vila aeroporto jaraguá
89115-412 borges / am",MARANHÃO
Ana Vitória Rios,710.392.468-69,55,1969-02-06,"alameda casa grande
cenaculo
31338-272 pires da prata / sp",RONDÔNIA
Maria Eduarda Da Mota,649.815.370-93,19,2004-09-08,"trevo pedro lucas viana, 26
nova cintra
12529520 ferreira / ba",SANTA CATARINA
Isabela Sá,831.540.926-33,23,2000-09-23,"trevo de ferreira, 70
apolonia
24658-178 rodrigues / sc",RORAIMA
Luiz Gustavo Albuquerque,154.780.629-01,37,1986-09-05,"setor santos, 7
vila independencia 3ª seção
25416409 barbosa de garcia / al",SÃO PAULO
Beatriz Lopes,234.685.910-98,18,2006-01-21,"avenida heitor martins, 74
universitário
58417-040 rezende de leão / ap",PERNAMBUCO
Josué Costa,732.405.819-14,57,1966-12-06,"lagoa joão gabriel jesus, 92
vila pilar
85680733 mendes / ma",BAHIA
Nathan Barros,836.079.214-31,38,1986-02-28,"esplanada costela, 9
são jorge 1ª seção
62997-749 alves dos dourados / ac",RIO GRANDE DO SUL
Cecília Aparecida,093.578.621-02,51,1973-04-15,"estrada teixeira, 134
mariquinhas
79701815 pires / pr",ACRE
Antônio Vargas,219.807.546-67,36,1988-03-22,"área de da cunha, 41
planalto
15730531 da cunha / rj",TOCANTINS
Sophia Costela,214.039.765-70,56,1968-08-15,"largo mariah rezende, 2
conjunto floramar
72950170 pinto grande / ap",BAHIA
Henrique Garcia,285.409.176-02,37,1987-07-13,"conjunto sampaio, 856
vila são joão batista
02862511 da rocha verde / pr",MINAS GERAIS
Agatha Fernandes,124.396.507-06,20,2003-09-27,"lagoa de da rocha, 283
primeiro de maio
95492-181 das neves / se",RIO GRANDE DO SUL
Maria Eduarda Porto,914.385.076-66,56,1967-12-06,"rodovia de costa, 61
túnel de ibirité
77296-605 da rosa / rj",MARANHÃO
João Pedro Oliveira,610.574.983-00,38,1985-10-01,"estação cirino
centro
41308-694 sá de siqueira / ap",RIO GRANDE DO NORTE
Danilo Castro,418.352.670-17,42,1982-02-27,"parque almeida, 31
monte são josé
88897835 brito dos dourados / df",RORAIMA
Rafael Ferreira,916.435.807-01,26,1998-07-08,"condomínio davi macedo
nossa senhora da conceição
26524562 da cunha do oeste / ce",AMAPÁ
Gabrielly Fernandes,924.685.371-73,46,1978-03-18,"quadra de cirino, 10
mirante
39565-212 rios / ap",RONDÔNIA
Isis Casa Grande,508.261.374-07,33,1991-05-29,"quadra de cirino, 87
anchieta
63834737 lima grande / pa",RIO GRANDE DO SUL
Daniela Da Rocha,470.596.123-43,39,1985-03-23,"praia casa grande, 30
buritis
64349005 moura / mt",MARANHÃO
Dra. Maya Azevedo,071.243.985-41,18,2005-09-22,"alameda da cunha, 52
conjunto jatoba
74037107 pastor / go",PERNAMBUCO
Luna Araújo,307.419.658-01,39,1985-04-22,"setor barros, 77
céu azul
89297093 correia alegre / pb",PARAÍBA
João Camargo,036.417.298-31,47,1977-05-28,"lagoa novais, 23
vila trinta e um de março
85061550 barros / df",SÃO PAULO
Leandro Da Mota,613.890.754-00,60,1964-05-31,"colônia de vargas, 81
beira linha
47216-527 freitas / ro",PERNAMBUCO
Theo Martins,402.156.789-58,55,1969-03-27,"recanto de moreira, 726
sport club
51314897 rocha / go",PIAUÍ
Maria Cecília Correia,624.103.798-69,27,1996-12-12,"loteamento ryan sá, 12
boa viagem
23543585 siqueira verde / rn",BAHIA
Lucas Gabriel Novaes,754.891.230-79,57,1967-02-03,"fazenda pires, 46
joão paulo ii
22282678 dias / am",MATO GROSSO DO SUL
Francisco Cardoso,728.309.154-88,43,1981-02-04,"avenida de aparecida, 155
piraja
85384682 pacheco / ap",PIAUÍ
Maria Luísa Campos,912.803.756-12,55,1969-04-11,"recanto teixeira, 92
juliana
21083157 oliveira / df",RIO GRANDE DO SUL
Gabrielly Borges,864.193.705-66,47,1977-07-05,"vila lunna da costa, 51
são marcos
97324703 campos / rj",PIAUÍ
Yuri Brito,782.361.504-53,25,1998-10-09,"estrada luiza guerra, 61
nova suíça
35063554 cavalcanti / to",PARANÁ
Leandro Costa,769.481.503-57,33,1991-05-08,"parque caldeira, 3
vila engenho nogueira
56658-149 leão de sales / se",RIO GRANDE DO SUL
Fernando Cassiano,876.023.541-17,27,1997-01-22,"morro de mendonça, 4
jardim guanabara
99072-650 da paz / am",GOIÁS
Théo Lima,210.749.853-97,59,1965-05-04,"viaduto de costa
santa lúcia
42911-623 cavalcante da praia / pr",PIAUÍ
Pietra Cardoso,719.863.402-87,27,1996-11-08,"jardim luan macedo, 4
barão homem de melo 3ª seção
91517-609 barbosa / pb",PIAUÍ
João Vitor Araújo,357.461.920-07,20,2003-11-09,"vereda de costela, 17
ipe
81335430 pereira / se",PARÁ
André Siqueira,578.946.201-49,46,1977-11-01,"vila de da luz, 83
inconfidência
26457114 moreira / pi",ESPÍRITO SANTO
Raquel Freitas,823.907.651-30,34,1990-06-14,"residencial de duarte, 123
apolonia
54234-888 abreu / sp",TOCANTINS
Dra. Maria Júlia Nascimento,794.320.861-78,38,1985-11-14,"praia de abreu, 512
antonio ribeiro de abreu 1ª seção
25206-025 camargo / es",SERGIPE
Juan Freitas,680.134.957-01,49,1975-05-26,"campo de borges, 108
nova suíça
20967697 campos do norte / sc",MATO GROSSO
